,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,National
2019,6.7,6.5,5.3,8.4,5.7,7.3,5,5,7.8,7.1,6,14.2,7.4,5.2,6.2,5.4,5.3,6.3,5.1,7.1,5.6,5,5.2,5.1,6,6,7.9,5.5,25.9,6.6,5.2,6,7.2,6.2,5.4,5.3,6.3,6,5.4,6.1,6.3,6.1,7.5,4.9,8.1,7.7,6.1,5.7,6,5,7,2.7
2018,6.8,6.7,5.5,8.9,6,7.6,5.3,5.2,7.8,7.3,6.4,15.3,7.8,5.5,6.6,5.7,5.4,6.8,5.1,7.4,5.9,6.3,5.7,5.3,6.3,6.5,7.7,6,26.7,6.9,5.4,6.4,7.1,6.4,5.7,5.6,6.4,6.3,5.5,6.3,6.6,6.5,8,6.1,8.4,7.9,6.4,6,6.1,5.4,7.1,2.9
2017,7,6.9,5.8,9.5,6.3,7.3,5.6,5.5,8.2,7.8,6.9,15.3,7.8,6,6.9,6.2,6,7.2,5.6,7.6,6.3,5.7,5.9,5.6,6.7,6.6,8,6.3,28.6,7,5.5,5.9,7.3,6.8,5.8,5.8,6.8,6.7,5.7,6.8,7,6.7,8.2,7.1,8.7,7.9,6.8,6.2,6.3,5.6,7.1,2.9
2016,7.1,7.1,5.9,9.9,6.5,7.4,5.6,5.6,8.1,8.1,6.8,15.6,8.1,5.8,6.9,6.1,6.2,7.4,6.1,7.6,6.3,5.8,5.9,5.6,7,6.9,7.8,6.5,28.4,7,5.7,6.4,7.5,7,6,6,6.7,6.9,5.8,6.7,6.6,7.2,8.6,7.1,9,8.3,7,6.2,6.4,5.6,7.1,3.01
2015,7.4,7.4,5.9,10,6.2,6.8,5.3,5.7,8.2,8.2,6.2,15.9,8.2,5.9,6.9,6.3,5.9,7.2,6.8,7.6,6.2,5.5,6,5.6,7,6.8,8,6.4,31,6.9,5.6,6.2,7.1,7,6.2,5.9,7.4,6.9,5.7,6.4,7.5,7.2,8.5,7.2,8.1,8.1,7,6.2,6.6,5.6,7.3,3.1
2014,7.8,7.5,5.8,10.1,6.4,7.1,5.4,6,11.8,7.3,0,17.7,8.4,6.2,7.1,6.9,6.1,6.9,6.9,7.7,6.5,5.6,5.8,5.9,6.9,6.7,7.9,6.4,31.9,7.2,5.4,8.1,6.7,6.9,6.3,5.8,7.1,6.8,5.8,6.7,7.6,7.1,8.4,6.9,7.3,8.7,6.7,7,6.7,5.7,7.7,3.2
2013,7.8,7.3,5.4,9.8,6.5,6.5,5,6.6,10.8,7,0,16.3,8.2,5.4,6.6,7.4,6,7.3,6.4,8.3,6.8,5.5,5.8,6,6.7,6.4,7.4,6.3,32.3,6.9,5.1,7.3,6.9,6.5,6.3,5.7,7.1,6.3,5.4,6.2,7.1,7,8.4,7,7.5,9.2,6.7,7.1,6.6,5.2,7.5,3.3
2012,8.2,7.2,5.6,10.9,6,6.8,5.2,5.8,8.4,7.2,6.5,17.5,8.2,5.8,6.7,6.8,6.3,7.2,5.7,7.3,5.6,5.5,5.6,5.6,5.8,6.5,7.8,6.7,35.1,6.8,4.9,6.9,7,6.6,6.6,5.8,6.9,6.6,5.5,6.1,7.4,7.5,8.8,7.3,8.4,8.2,6.8,6.3,7,5.4,7.6,3.4
2011,8.4,7.8,5.7,10.4,5.8,7,5.5,5.2,8.7,7.4,6.6,17.6,8.6,5.6,6.8,6.7,6.3,7.5,6.4,7.2,5.8,5.5,5.7,5.6,4.9,6.6,7.8,6.6,36.9,7.1,4.8,8,6.9,6.7,6.7,5.9,6.9,6.6,5.3,6,7.2,7.5,9,7.1,8.6,8.3,6.8,6.1,7.2,5.3,7.8,3.6
